Assembly	[C]omplete BUSCOs	Complete and [S]ingle-copy BUSCOs	Complete and [D]uplicated BUSCOs	[F]ragmented BUSCOs	[M]issing BUSCOs	Name
GCA_003274225.1	1630	1550	80	4	72	Saccharomyces cerevisiae BT1.1
GCA_003274315.1	1630	1554	76	6	70	Saccharomyces cerevisiae LM1-2
GCA_003274325.1	1624	1546	78	5	77	Saccharomyces cerevisiae JZ1-4
GCA_003274345.1	1626	1552	74	5	75	Saccharomyces cerevisiae F3-4
GCA_003274365.1	1630	1554	76	3	73	Saccharomyces cerevisiae DX10-3
GCA_003274425.1	1630	1554	76	4	72	Saccharomyces cerevisiae 11-3002
GCA_003274465.1	1633	1558	75	3	70	Saccharomyces cerevisiae 5-3004
GCA_003274475.1	1630	1551	79	5	71	Saccharomyces cerevisiae XJ5
GCA_003274485.1	1628	1548	80	5	73	Saccharomyces cerevisiae NX3
GCA_003274495.1	1630	1552	78	4	72	Saccharomyces cerevisiae NX2
GCA_003274585.1	1631	1551	80	3	72	Saccharomyces cerevisiae NX1
GCA_003274595.1	1622	1535	87	7	77	Saccharomyces cerevisiae SXJM4.1
GCA_003274605.1	1629	1548	81	5	72	Saccharomyces cerevisiae LSF.1
GCA_003274615.1	1625	1546	79	7	74	Saccharomyces cerevisiae DBL.1
GCA_003274705.1	1595	1529	66	12	99	Saccharomyces cerevisiae AF
GCA_003274715.1	1630	1549	81	6	70	Saccharomyces cerevisiae BJ13
GCA_003274725.1	1630	1549	81	6	70	Saccharomyces cerevisiae BJ11
GCA_003274735.1	1629	1548	81	7	70	Saccharomyces cerevisiae BJ10
GCA_003274825.1	1627	1546	81	7	72	Saccharomyces cerevisiae BJ9
GCA_003274845.1	1630	1548	82	4	72	Saccharomyces cerevisiae JL1
GCA_003274855.1	1628	1547	81	5	73	Saccharomyces cerevisiae JL3
GCA_003274865.1	1631	1550	81	4	71	Saccharomyces cerevisiae YN6
GCA_003274905.1	1632	1554	78	4	70	Saccharomyces cerevisiae YN4
GCA_003274975.1	1630	1549	81	4	72	Saccharomyces cerevisiae YN1
GCA_003274985.1	1627	1545	82	5	74	Saccharomyces cerevisiae XJ6
GCA_003274995.1	1630	1552	78	3	73	Saccharomyces cerevisiae YN3
GCA_003275005.1	1626	1547	79	6	74	Saccharomyces cerevisiae XJ7
GCA_003275095.1	1631	1551	80	3	72	Saccharomyces cerevisiae XJ1
GCA_003275105.1	1628	1549	79	6	72	Saccharomyces cerevisiae SX11
GCA_003275115.1	1629	1548	81	3	74	Saccharomyces cerevisiae SX10
GCA_003275125.1	1628	1548	80	6	72	Saccharomyces cerevisiae SD2
GCA_003275215.1	1626	1544	82	4	76	Saccharomyces cerevisiae SD1
GCA_003275225.1	1628	1549	79	6	72	Saccharomyces cerevisiae HLJ3
GCA_003275235.1	1628	1549	79	5	73	Saccharomyces cerevisiae JL4
GCA_003275245.1	1626	1547	79	6	74	Saccharomyces cerevisiae FJ12
GCA_003275335.1	1630	1550	80	3	73	Saccharomyces cerevisiae BJ7
GCA_003275345.1	1626	1544	82	5	75	Saccharomyces cerevisiae BJ4
GCA_003275365.1	1628	1552	76	4	74	Saccharomyces cerevisiae ZJ2
GCA_003275385.1	1631	1555	76	4	71	Saccharomyces cerevisiae ZJ1
GCA_003275455.1	1628	1548	80	5	73	Saccharomyces cerevisiae SX9
GCA_003275465.1	1627	1548	79	6	73	Saccharomyces cerevisiae HN18
GCA_003275475.1	1627	1547	80	4	75	Saccharomyces cerevisiae HN17
GCA_003275505.1	1627	1548	79	6	73	Saccharomyces cerevisiae HN16
GCA_003275575.1	1625	1546	79	6	75	Saccharomyces cerevisiae HN15
GCA_003275585.1	1628	1549	79	5	73	Saccharomyces cerevisiae HN13
GCA_003275605.1	1629	1550	79	5	72	Saccharomyces cerevisiae FJ6
GCA_003275615.1	1625	1544	81	6	75	Saccharomyces cerevisiae FJ4
GCA_003275685.1	1627	1548	79	4	75	Saccharomyces cerevisiae FJ3
GCA_003275715.1	1629	1548	81	5	72	Saccharomyces cerevisiae NGS21L.1
GCA_003275745.1	1599	1520	79	17	90	Saccharomyces cerevisiae JHBMY20.1
GCA_003275755.1	1630	1550	80	5	71	Saccharomyces cerevisiae JXXY1.1
GCA_003275785.1	1632	1551	81	5	69	Saccharomyces cerevisiae GT99.1
GCA_003275825.1	1631	1549	82	3	72	Saccharomyces cerevisiae GT39.1
GCA_003275835.1	1628	1546	82	6	72	Saccharomyces cerevisiae FJSA40.2
GCA_003275875.1	1629	1547	82	5	72	Saccharomyces cerevisiae FJ11
GCA_003275885.1	1630	1549	81	6	70	Saccharomyces cerevisiae HN19
GCA_003275955.1	1631	1546	85	5	70	Saccharomyces cerevisiae HN10
GCA_003275965.1	1629	1549	80	7	70	Saccharomyces cerevisiae HN9
GCA_003276005.1	1630	1550	80	3	73	Saccharomyces cerevisiae BJ27
GCA_003276015.1	1628	1547	81	4	74	Saccharomyces cerevisiae BJ25
GCA_003276075.1	1631	1552	79	4	71	Saccharomyces cerevisiae BJ19
GCA_003276085.1	1629	1553	76	4	73	Saccharomyces cerevisiae BJ20
GCA_003276135.1	1631	1553	78	4	71	Saccharomyces cerevisiae C5-1
GCA_003276145.1	1629	1553	76	4	73	Saccharomyces cerevisiae B1-1
GCA_003276185.1	1589	1513	76	13	104	Saccharomyces cerevisiae XST
GCA_003276205.1	1628	1550	78	6	72	Saccharomyces cerevisiae MLAF.1
GCA_003276235.1	1629	1549	80	5	72	Saccharomyces cerevisiae ANG1
GCA_003276245.1	1626	1546	80	6	74	Saccharomyces cerevisiae AFB.1
GCA_003276295.1	1629	1548	81	5	72	Saccharomyces cerevisiae XJ4
GCA_003276325.1	1626	1546	80	6	74	Saccharomyces cerevisiae BJ5
GCA_003276365.1	1630	1547	83	5	71	Saccharomyces cerevisiae BJ2
GCA_003276375.1	1629	1549	80	4	73	Saccharomyces cerevisiae SD4
GCA_003276395.1	1629	1549	80	4	73	Saccharomyces cerevisiae YN5
GCA_003276405.1	1629	1550	79	6	71	Saccharomyces cerevisiae XJ3
GCA_003276485.1	1629	1549	80	5	72	Saccharomyces cerevisiae SD3
GCA_003276495.1	1629	1549	80	5	72	Saccharomyces cerevisiae HLJ2
GCA_003276505.1	1627	1546	81	7	72	Saccharomyces cerevisiae FJ1
GCA_003276515.1	1629	1545	84	4	73	Saccharomyces cerevisiae HN14
GCA_003276605.1	1628	1552	76	4	74	Saccharomyces cerevisiae FJ2
GCA_003276615.1	1629	1550	79	6	71	Saccharomyces cerevisiae HN11
GCA_003276625.1	1630	1551	79	6	70	Saccharomyces cerevisiae HN8
GCA_003276635.1	1630	1550	80	3	73	Saccharomyces cerevisiae JL5
GCA_003276725.1	1633	1549	84	2	71	Saccharomyces cerevisiae HLJ1
GCA_003276735.1	1632	1549	83	4	70	Saccharomyces cerevisiae BJ26
GCA_003276745.1	1630	1550	80	6	70	Saccharomyces cerevisiae BJ24
GCA_003276755.1	1629	1549	80	5	72	Saccharomyces cerevisiae BJ23
GCA_003276845.1	1631	1550	81	3	72	Saccharomyces cerevisiae BJ18
GCA_003276855.1	1633	1553	80	2	71	Saccharomyces cerevisiae BJ22
GCA_003276865.1	1630	1548	82	4	72	Saccharomyces cerevisiae BJ17
GCA_003276875.1	1628	1551	77	6	72	Saccharomyces cerevisiae BJ14
GCA_003276965.1	1630	1549	81	2	74	Saccharomyces cerevisiae BJ6
GCA_003276975.1	1629	1549	80	5	72	Saccharomyces cerevisiae SX8
GCA_003276985.1	1625	1542	83	6	75	Saccharomyces cerevisiae SX7
GCA_003276995.1	1627	1547	80	7	72	Saccharomyces cerevisiae SX5
GCA_003277085.1	1632	1553	79	4	70	Saccharomyces cerevisiae SX3
GCA_003277095.1	1628	1547	81	6	72	Saccharomyces cerevisiae SX2
GCA_003277105.1	1628	1548	80	4	74	Saccharomyces cerevisiae HN7
GCA_003277115.1	1629	1547	82	4	73	Saccharomyces cerevisiae HN6
GCA_003277205.1	1627	1547	80	5	74	Saccharomyces cerevisiae HN5
GCA_003277235.1	1627	1547	80	4	75	Saccharomyces cerevisiae HN2
GCA_003277245.1	1627	1547	80	5	74	Saccharomyces cerevisiae HN4
GCA_003277255.1	1627	1551	76	4	75	Saccharomyces cerevisiae HN1
GCA_003277295.1	1628	1549	79	4	74	Saccharomyces cerevisiae FJ10
GCA_003277355.1	1630	1550	80	4	72	Saccharomyces cerevisiae FJ9
GCA_003277365.1	1627	1549	78	5	74	Saccharomyces cerevisiae FJ8
GCA_003277375.1	1627	1548	79	4	75	Saccharomyces cerevisiae FJ7
GCA_003277385.1	1630	1552	78	5	71	Saccharomyces cerevisiae FJ5
GCA_003277475.1	1629	1547	82	6	71	Saccharomyces cerevisiae XXYS14.1
GCA_003277485.1	1628	1547	81	6	72	Saccharomyces cerevisiae XXY30L.2
GCA_003277495.1	1627	1545	82	7	72	Saccharomyces cerevisiae XXY26L.1
GCA_003277505.1	1628	1548	80	7	71	Saccharomyces cerevisiae JXXY10.1
GCA_003277595.1	1624	1544	80	7	75	Saccharomyces cerevisiae BJ16
GCA_003277615.1	1631	1551	80	5	70	Saccharomyces cerevisiae BJ8
GCA_003277635.1	1630	1547	83	2	74	Saccharomyces cerevisiae BJ15
GCA_003277645.1	1631	1551	80	2	73	Saccharomyces cerevisiae BJ3
GCA_003277715.1	1623	1543	80	6	77	Saccharomyces cerevisiae SX6
GCA_003277725.1	1629	1550	79	6	71	Saccharomyces cerevisiae SX1
GCA_003277735.1	1630	1550	80	6	70	Saccharomyces cerevisiae SX4
GCA_003277755.1	1627	1546	81	4	75	Saccharomyces cerevisiae HN3
GCA_003277815.1	1629	1549	80	6	71	Saccharomyces cerevisiae XXYS1.4
GCA_003277865.1	1629	1548	81	6	71	Saccharomyces cerevisiae JXXY16.1
GCA_003277875.1	1620	1542	78	6	80	Saccharomyces cerevisiae BS
GCA_003285555.1	1375	1373	2	57	274	Diutina catenulata
GCA_003326515.1	1619	1551	68	6	81	Saccharomyces cerevisiae BT4
GCA_003326525.1	1630	1552	78	3	73	Saccharomyces cerevisiae BJ21
GCA_003326555.1	1628	1547	81	5	73	Saccharomyces cerevisiae BJ28
GCA_003326565.1	1581	1497	84	8	117	Saccharomyces cerevisiae JM28-16
GCA_003327605.1	1627	1544	83	5	74	Saccharomyces eubayanus CBS12357
GCA_003327635.1	1617	1533	84	5	84	Saccharomyces kudriavzevii CR85
GCA_003327685.1	1055	866	189	71	580	Pichia kluyveri CBA6002
GCA_003327735.1	1528	503	1025	23	155	Candida viswanathii ATCC 20962
GCA_003339355.1	1359	1358	1	27	320	Pichia fermentans fo/MP/02
GCA_003339405.1	1413	1412	1	18	275	Pichia norvegensis CBS 1922
GCA_003349505.1	1669	1664	5	1	36	Debaryomyces hansenii Y-3
GCA_003367845.1	1584	1573	11	6	116	Yarrowia lipolytica YB567
GCA_003367865.1	1583	1573	10	5	118	Yarrowia lipolytica YB392
GCA_003367925.1	1583	1573	10	6	117	Yarrowia lipolytica YB419
GCA_003367945.1	1585	1574	11	5	116	Yarrowia lipolytica YB566
GCA_003367965.1	1585	1575	10	4	117	Yarrowia lipolytica YB420
GCA_003401565.2	1544	1368	176	22	140	Metschnikowia reukaufii MR1
GCA_003401635.1	1499	1493	6	29	178	Metschnikowia reukaufii MR1
GCA_003454735.1	1571	1564	7	6	129	Candida albicans TIMM 1768
GCA_003569725.1	1625	1546	79	6	75	Saccharomyces cerevisiae Hm-1
GCA_003571375.1	1567	1557	10	13	126	Yarrowia lipolytica NCIM 3590
GCA_003571385.1	1582	1570	12	6	118	Yarrowia lipolytica NCIM 3589
GCA_003591695.1	1489	1415	74	27	190	Saccharomyces cerevisiae YAL1
GCA_003614695.1	1357	1326	31	55	294	Metschnikowia bicuspidata Baker2002
GCA_003670155.1	1603	1602	1	7	96	Kluyveromyces nonfermentans NRRL Y-27343
GCA_003671565.1	1624	1623	1	8	74	Zygotorulaspora mrakii NRRL Y-12654
GCA_003671575.2	1630	1629	1	9	67	Zygotorulaspora florentina NRRL Y-1560
GCA_003671595.2	1616	1610	6	3	87	Komagataella pseudopastoris NRRL Y-27603
GCA_003675435.1	1514	1512	2	23	169	Clavispora lusitaniae S19
GCA_003675455.1	1513	1454	59	25	168	Clavispora lusitaniae L15
GCA_003675475.1	1514	1512	2	22	170	Clavispora lusitaniae U04
GCA_003675495.1	1512	1510	2	22	172	Clavispora lusitaniae S20
GCA_003675505.1	1518	1516	2	18	170	Clavispora lusitaniae ATCC 42720
GCA_003675535.1	1517	1515	2	22	167	Clavispora lusitaniae S21
GCA_003675555.2	1506	1504	2	14	186	Clavispora lusitaniae L17
GCA_003675575.1	1514	1512	2	24	168	Clavispora lusitaniae L16
GCA_003675595.1	1516	1514	2	27	163	Clavispora lusitaniae S18
GCA_003675615.1	1513	1511	2	24	169	Clavispora lusitaniae L14
GCA_003675625.1	1518	1516	2	23	165	Clavispora lusitaniae L13
GCA_003675655.1	1515	1511	4	23	168	Clavispora lusitaniae L11
GCA_003675665.1	1516	1514	2	25	165	Clavispora lusitaniae L10
GCA_003675685.1	1519	1517	2	24	163	Clavispora lusitaniae L12
GCA_003675715.1	1512	1495	17	27	167	Clavispora lusitaniae L09
GCA_003675725.1	1513	1511	2	25	168	Clavispora lusitaniae U08
GCA_003675755.1	1508	1491	17	25	173	Clavispora lusitaniae U07
GCA_003675775.1	1516	1514	2	22	168	Clavispora lusitaniae U06
GCA_003675795.1	1511	1509	2	26	169	Clavispora lusitaniae U05
GCA_003675805.1	1514	1512	2	23	169	Clavispora lusitaniae U02
GCA_003675835.1	1512	1510	2	26	168	Clavispora lusitaniae U03
GCA_003676015.1	1629	1627	2	5	72	Meyerozyma sp. JA9 JA9
GCA_003676035.1	1620	1614	6	3	83	Spathaspora sp. JA1 JA1
GCA_003698155.1	1559	1552	7	7	140	Yarrowia lipolytica FKP355
GCA_003705115.1	1593	1587	6	10	103	Ogataea henricii NRRL YB-2194
GCA_003705165.1	1560	1470	90	17	129	Citeromyces matritensis NRRL Y-2407
GCA_003705175.2	1628	1620	8	6	72	Torulaspora franciscae NRRL Y-17532
GCA_003705185.1	1558	1550	8	5	143	Ambrosiozyma ambrosiae NRRL Y-7524
GCA_003705215.2	1472	1468	4	10	224	Brettanomyces custersianus NRRL Y-6653
GCA_003705225.1	1565	1560	5	5	136	Ambrosiozyma vanderkliftii NRRL Y-63633
GCA_003705255.2	1611	1605	6	3	92	Komagataella populi NRRL YB-455
GCA_003705275.1	1618	1615	3	7	81	Starmera quercuum NRRL YB-4281
GCA_003705295.1	1481	1466	15	26	199	Sporopachydermia lactativora NRRL Y-11591
GCA_003705305.2	1590	1578	12	11	105	Spencermartinsiella europaea NRRL Y-48265
GCA_003705335.1	1625	1624	1	5	76	Priceomyces medius NRRL Y-7122
GCA_003705365.1	1338	1337	1	22	346	Saturnispora mendoncae NRRL Y-11515
GCA_003705375.1	1514	1484	30	13	179	Saccharomycopsis capsularis NRRL Y-17639
GCA_003705415.1	1374	1372	2	11	321	Saturnispora serradocipensis NRRL Y-48717
GCA_003705435.1	1380	1378	2	14	312	Saturnispora zaruensis NRRL Y-7008
GCA_003705455.2	1460	1454	6	7	239	Pichia occidentalis NRRL Y-7552
GCA_003705465.1	1418	1387	31	14	274	Pichia norvegensis NRRL Y-7687
GCA_003705495.1	1391	1389	2	16	299	Pichia nakasei NRRL Y-7686
GCA_003705515.2	1438	1412	26	15	253	Pichia kudriavzevii NRRL Y-5396
GCA_003705525.2	1418	1415	3	12	276	Pichia heedii NRRL Y-10967
GCA_003705535.2	1098	1083	15	177	431	Martiniozyma abiesophila NRRL Y-11514
GCA_003705555.1	1615	1612	3	6	85	Meyerozyma athensensis NRRL Y-27644
GCA_003705595.1	1597	1521	76	6	103	Nadsonia fulvescens var. fulvescens NRRL Y-12810 NRRL Y-12810
GCA_003705615.1	1297	1286	11	31	378	Wickerhamiella cacticola NRRL Y-27362
GCA_003705625.1	1586	1583	3	3	117	Ogataea nitratoaversa NRRL Y-48449
GCA_003705635.1	1541	1528	13	7	158	Diddensiella caesifluorescens NRRL Y-48781
GCA_003705675.1	1609	1601	8	5	92	Kodamaea laetipori NRRL Y-27713
GCA_003705695.1	1607	1595	12	6	93	Blastobotrys serpentis NRRL Y-48249
GCA_003705705.1	1620	1606	14	4	82	Blastobotrys raffinosifermentans NRRL Y-27150
GCA_003705735.2	1595	1588	7	10	101	Blastobotrys peoriensis NRRL YB-2290
GCA_003705745.2	1582	1571	11	11	113	Blastobotrys muscicola NRRL Y-7993
GCA_003705765.2	1576	1565	11	10	120	Blastobotrys mokoenaii NRRL Y-27120
GCA_003705795.2	1600	1593	7	3	103	Blastobotrys americana NRRL Y-6844
GCA_003705805.2	1615	1607	8	8	83	Kluyveromyces dobzhanskii NRRL Y-1974
GCA_003705835.2	1315	1307	8	45	346	Lipomyces suomiensis NRRL Y-17356
GCA_003705845.2	1141	1133	8	90	475	Lipomyces mesembrius NRRL Y-27506
GCA_003705865.1	1050	1044	6	100	556	Lipomyces doorenjongii NRRL Y-27504
GCA_003705895.1	1350	1343	7	39	317	Lipomyces japonicus NRRL Y-17848
GCA_003705905.1	1191	1183	8	83	432	Lipomyces kononenkoae NRRL Y-11553
GCA_003705915.1	1186	1176	10	70	450	Lipomyces lipofer NRRL Y-11555
GCA_003705955.1	1631	1630	1	2	73	Zygosaccharomyces kombuchaensis NRRL YB-4811
GCA_003705975.1	1589	1523	66	4	113	Tetrapisispora iriomotensis NRRL Y-27309
GCA_003705985.1	1584	1528	56	8	114	Tetrapisispora namnaoensis NRRL Y-27982
GCA_003706005.1	1633	1605	28	4	69	Torulaspora pretoriensis NRRL Y-17251
GCA_003706035.1	1598	1591	7	3	105	Peterozyma xylosa NRRL Y-12939
GCA_003706045.1	1599	1587	12	5	102	Peterozyma toletana NRRL YB-4247
GCA_003706095.1	1567	1563	4	9	130	Ogataea trehaloabstinens NRRL Y-27595
GCA_003706105.2	1568	1566	2	8	130	Ogataea ramenticola NRRL YB-1985
GCA_003706115.2	1568	1562	6	6	132	Ogataea philodendri NRRL Y-7210
GCA_003706155.1	1603	1593	10	10	93	Ogataea glucozyma NRRL YB-2185
GCA_003706165.2	1540	1538	2	12	154	Ogataea kodamae NRRL Y-17234
GCA_003706195.1	1558	1554	4	9	139	Ogataea minuta NRRL Y-411
GCA_003706205.1	1610	1600	10	6	90	Ogataea methylovora NRRL Y-17250
GCA_003706235.1	1563	1561	2	10	133	Ogataea naganishii NRRL Y-7654
GCA_003706255.1	1565	1560	5	11	130	Ogataea nonfermentans NRRL YB-2203
GCA_003706265.1	1604	1595	9	5	97	Nakazawaea holstii NRRL Y-2155
GCA_003706285.2	1632	1630	2	5	69	Kuraishia ogatae NRRL Y-48474
GCA_003706305.2	1588	1586	2	10	108	Kuraishia molischiana NRRL Y-27899
GCA_003706315.2	1561	1553	8	3	142	Ambrosiozyma oregonensis NRRL Y-6106
GCA_003706345.1	1540	1498	42	17	149	Citeromyces hawaiiensis NRRL Y-11581
GCA_003706365.1	1504	1098	406	36	166	Citeromyces siamensis NRRL Y-27975
GCA_003706385.1	1007	1000	7	24	675	Hanseniaspora clermontiae NRRL Y-27515
GCA_003706395.1	1618	1614	4	2	86	Danielozyma ontarioensis NRRL YB-1246
GCA_003706415.2	1540	1534	6	18	148	Deakozyma indianensis NRRL YB-1937
GCA_003706445.2	1626	1616	10	8	72	Cyberlindnera mrakii NRRL Y-1364
GCA_003706475.2	1569	1566	3	6	131	Candida corydali NRRL Y-27910
GCA_003706495.1	1653	1639	14	6	47	Cephaloascus albidus NRRL Y-7343
GCA_003706505.2	1635	1634	1	6	65	Suhomyces pyralidae NRRL Y-27085
GCA_003706525.1	1643	1638	5	3	60	Suhomyces canberraensis NRRL YB-2417
GCA_003706535.1	1631	1609	22	4	71	Teunomyces kruisii NRRL Y-17087
GCA_003706565.2	1616	1613	3	8	82	Teunomyces gatunensis NRRL Y-48064
GCA_003706575.1	1635	1631	4	3	68	Teunomyces cretensis NRRL Y-27777
GCA_003706615.2	1599	1593	6	7	100	[Candida] montana NRRL Y-17326
GCA_003706635.1	1567	1565	2	9	130	Ambrosiozyma sp. 'maleeae' NRRL Y-63635
GCA_003706655.2	1607	1600	7	3	96	Barnettozyma californica NRRL Y-17395
GCA_003706665.1	1610	1604	6	4	92	Barnettozyma hawaiiensis NRRL Y-27270
GCA_003706695.2	1520	1514	6	13	173	[Candida] incommunis NRRL Y-17085
GCA_003706705.2	1608	1602	6	7	91	Barnettozyma populi NRRL Y-12728
GCA_003706715.1	1595	1594	1	5	106	Yamadazyma nakazawae NRRL Y-7903
GCA_003706755.2	1586	1572	14	7	113	[Candida] ponderosae NRRL YB-2307
GCA_003706765.2	1630	1625	5	4	72	Wickerhamomyces hampshirensis NRRL YB-4128
GCA_003706775.2	1403	1402	1	20	283	Tortispora starmeri NRRL Y-63665
GCA_003706805.2	1162	1161	1	62	482	Trigonopsis vinaria NRRL Y-5715
GCA_003706815.2	1632	1626	6	5	69	Wickerhamomyces sp. NRRL YB-2243 NRRL YB-2243
GCA_003706855.2	1628	1628	0	5	73	Priceomyces castillae NRRL Y-7501
GCA_003706875.2	1437	1436	1	16	253	Pichia terricola NRRL YB-4310
GCA_003706895.1	1578	1575	3	8	120	[Candida] fragi NRRL Y-17910
GCA_003706915.2	1632	1626	6	8	66	Cyberlindnera petersonii NRRL YB-3808
GCA_003706925.2	1628	1625	3	4	74	Hyphopichia heimii NRRL Y-7502
GCA_003706955.2	1614	1613	1	2	90	[Candida] blattae NRRL Y-27698
GCA_003706965.1	1527	1522	5	13	166	[Candida] hispaniensis NRRL Y-5580
GCA_003706995.2	1593	1591	2	6	107	Yamadazyma philogaea NRRL Y-7813
GCA_003707015.2	1631	1624	7	4	71	Wickerhamomyces canadensis NRRL Y-1888
GCA_003707025.1	1580	1578	2	7	119	Yamadazyma scolyti NRRL Y-5512
GCA_003707035.1	1558	1547	11	16	132	Yarrowia bubula NRRL Y-63668
GCA_003707065.2	1164	1162	2	67	475	Trigonopsis variabilis NRRL Y-1579
GCA_003707085.1	1646	1640	6	4	56	Torulaspora microellipsoides NRRL Y-1549
GCA_003707115.1	1425	1419	6	14	267	Tortispora ganteri NRRL Y-17035
GCA_003707125.2	1632	1630	2	5	69	Meyerozyma caribbica NRRL Y-27274
GCA_003707135.1	1570	1567	3	9	127	Kurtzmaniella cleridarum NRRL Y-48386
GCA_003707165.1	1584	1578	6	11	111	Phaffomyces opuntiae NRRL Y-11707
GCA_003707195.1	1591	1586	5	3	112	Phaffomyces antillensis NRRL Y-12881
GCA_003707205.2	1532	1532	0	8	166	Kregervanrija delftensis NRRL Y-7119
GCA_003707215.1	1589	1585	4	6	111	Phaffomyces thermotolerans NRRL Y-11709
GCA_003707255.1	1389	1387	2	14	303	Saturnispora hagleri NRRL Y-27828
GCA_003707265.1	1561	1559	2	5	140	[Candida] stellimalicola NRRL Y-17912
GCA_003707275.2	1536	1533	3	9	161	Kregervanrija fluxuum NRRL YB-4273
GCA_003707305.1	1390	1389	1	15	301	Saturnispora saitoi NRRL Y-6671
GCA_003707315.2	1339	1339	0	22	345	Saturnispora silvae NRRL Y-6725
GCA_003707355.1	1423	1420	3	9	274	Pichia exigua NRRL Y-10920
GCA_003707375.2	1576	1573	3	6	124	Ogataea populi-albae NRRL Y-48632
GCA_003707405.1	1608	1600	8	12	86	[Candida] schatavii NRRL Y-17078
GCA_003707425.2	1594	1591	3	11	101	[Candida] restingae NRRL Y-27358
GCA_003707435.1	1589	1585	4	7	110	Aciculoconidium aculeatum NRRL YB-4298
GCA_003707445.1	865	864	1	272	569	Botryozyma nematodophila NRRL Y-17705
GCA_003707475.1	1485	1390	95	24	197	Dipodascus albidus NRRL Y-12859
GCA_003707485.2	1592	1581	11	5	109	Blastobotrys proliferans NRRL Y-17577
GCA_003707525.2	1062	1058	4	245	399	Blastobotrys niveus NRRL Y-17581
GCA_003707545.2	1186	1182	4	73	447	Lipomyces oligophaga NRRL Y-17247
GCA_003707555.1	1600	1600	0	7	99	Kluyveromyces aestuarii NRRL YB-4510
GCA_003707585.2	1153	1149	4	93	460	Lipomyces arxii NRRL Y-17921
GCA_003707595.1	1633	1632	1	7	66	Zygosaccharomyces bisporus NRRL Y-12626
GCA_003707605.1	1579	1524	55	2	125	Tetrapisispora fleetii NRRL Y-27350
GCA_003707645.1	1594	1589	5	7	105	Ogataea trehalophila NRRL Y-6781
GCA_003707665.1	1605	1599	6	10	91	Ogataea pini NRRL Y-11528
GCA_003707675.2	1566	1553	13	8	132	Ambrosiozyma philentoma NRRL Y-7523
GCA_003707685.1	1587	1579	8	5	114	Ogataea pilisensis NRRL Y-27598
GCA_003707715.1	1429	1417	12	13	264	Hanseniaspora osmophila NRRL Y-1613
GCA_003707735.1	1646	1639	7	7	53	[Candida] freyschussii NRRL Y-7957A
GCA_003707745.1	1608	1595	13	14	84	Cyberlindnera misumaiensis NRRL Y-17389
GCA_003707785.2	1622	1620	2	4	80	[Candida] oregonensis NRRL Y-5850
GCA_003707795.1	1567	1561	6	15	124	Clavispora fructus NRRL Y-17072
GCA_003707825.2	1652	1648	4	5	49	Cephaloascus fragrans NRRL Y-6742
GCA_003707835.2	1636	1634	2	5	65	Suhomyces emberorum NRRL Y-27606
GCA_003707865.1	1616	1609	7	5	85	Barnettozyma pratensis NRRL Y-12696
GCA_003707885.1	1598	1589	9	10	98	Barnettozyma salicaria NRRL Y-6780
GCA_003707895.2	1579	1574	5	3	124	Ambrosiozyma pseudovanderkliftii NRRL Y-63632
GCA_003707925.2	1572	1565	7	7	127	Zygoascus ofunaensis NRRL Y-10998
GCA_003707935.2	1566	1560	6	13	127	Zygoascus meyerae NRRL Y-17319
GCA_003707945.2	1642	1635	7	5	59	Wickerhamomyces bovis NRRL YB-4184
GCA_003707985.2	1633	1628	5	3	70	Wickerhamomyces alni NRRL Y-11625
GCA_003707995.1	1473	1433	40	10	223	Yueomyces sinensis NRRL Y-17406
GCA_003708045.1	1578	1565	13	5	123	Yarrowia divulgata NRRL Y-63741
GCA_003708055.2	1622	1620	2	8	76	Torulaspora maleeae CBS 10694
GCA_003708085.1	1558	1545	13	6	142	Starmera amethionina NRRL Y-10978
GCA_003708095.2	1389	1388	1	12	305	Saturnispora dispora NRRL Y-1447
GCA_003708105.2	1480	1472	8	16	210	Middelhovenomyces tepae NRRL Y-17670
GCA_003708145.2	1594	1587	7	5	107	[Candida] orba NRRL Y-27336
GCA_003708155.1	1590	1589	1	8	108	Kodamaea ohmeri NRRL Y-1932
GCA_003708185.2	1636	1635	1	3	67	[Candida] rhagii NRRL Y-2594
GCA_003708205.1	1640	1637	3	2	64	[Candida] gotoi NRRL Y-27225
GCA_003708225.2	1626	1618	8	7	73	Cyberlindnera suaveolens NRRL Y-17391
GCA_003708265.2	1625	1617	8	4	77	[Candida] vartiovaarae NRRL Y-6701
GCA_003708285.1	1637	1622	15	6	63	Cyberlindnera xylosilytica NRRL YB-2097
GCA_003708295.2	1633	1628	5	5	68	[Candida] mycetangii NRRL Y-6843
GCA_003708315.2	1541	1535	6	11	154	Groenewaldozyma salmanticensis NRRL Y-17090
GCA_003708335.1	1023	1021	2	18	665	Hanseniaspora pseudoguilliermondii ZIM213 Neza Cadez
GCA_003708355.2	1598	1593	5	16	92	Cyberlindnera maclurae NRRL Y-5377
GCA_003708365.1	992	991	1	24	690	Hanseniaspora sp. 'singularis' ZIM2326 Neza Cadez; ST-244
GCA_003708405.1	1584	1579	5	8	114	[Candida] heveicola NRRL Y-48716
GCA_003708425.2	1585	1525	60	8	113	Kazachstania rosinii NRRL Y-17919
GCA_003708445.2	1491	1458	33	9	206	Kazachstania transvaalensis NRRL Y-17245
